"연말정산신고현황별(1)",연말정산신고현황별(2),2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
"연말정산신고현황별(1)",연말정산신고현황별(2),합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%
"연말정산신고현황별(1)",연말정산신고현황별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"총지급액(비과세포함)",소계,344583,5905872,34458,2942539,365753,6265342,36575,3050330,403782,7171332,40378,3243965,465033,8671108,46503,3760553,474289,9444052,47428,4015094,479527,10425693,47952,4479826,507567,11846280,50756,4744291,543773,12897268,54377,4926316,563495,13723069,56349,5015112,558246,14182017,55825,4905938,573325,15012279,57333,4890307,585542,16117931,58554,5054664,544883,16042611,54488,5080546,504732,16123382,50473,5280862
"과세소득(소득명세)",소계,342399,5405179,34221,2696171,364441,5982113,36335,2968345,402853,6960228,40374,3214399,463177,8443818,46499,3725779,472471,9304731,47423,3980699,477375,10208807,47934,4438892,503888,11595606,50731,4707678,540300,12661590,54372,4903839,560166,13492343,56346,4976190,554503,13983037,55824,4868552,570819,14808220,57332,4852278,583482,15931155,58552,5026764,542213,15856032,54480,5054305,501902,15946738,50466,5254770
"과세소득(소득명세)",급여,342276,4890399,34191,2261549,364263,5495542,36315,2569591,402604,6397467,40349,2768965,462816,7774925,46470,3214411,472033,8589727,47398,3453676,476960,9402021,47897,3847554,503554,10776104,50694,4129813,540034,11821392,54322,4327336,559935,12628008,56303,4380449,554247,13057433,55788,4210826,570603,13894261,57310,4151889,583253,15066876,58520,4357608,541965,14912687,54457,4299422,501708,14779854,50445,4303231
"과세소득(소득명세)",상여,118157,501743,15600,421837,122954,473396,16298,385944,145648,552099,20272,435266,181680,652591,24640,495584,199587,695783,25538,508437,202515,789471,26005,574763,215070,806184,27468,565335,233372,819616,30613,556992,238695,840426,33090,573393,237371,890202,33802,623982,214901,875972,34388,664194,202175,824085,33882,630522,192780,894367,31288,707823,185283,1038426,30035,824862
"과세소득(소득명세)",인정상여,1176,3698,787,3476,1025,5299,747,4979,1090,5716,744,5377,1319,5382,795,4962,1552,7319,943,6803,1534,7047,1012,6426,1761,7294,1107,6593,1797,10069,1037,9094,2336,11335,1498,9828,2842,14235,1766,12688,2718,14835,1760,13165,2782,14338,1761,12882,2626,15212,1604,13610,2707,13133,1787,11493
"과세소득(소득명세)",주식매수선택권행사이익,29,9339,20,9309,81,7801,69,7757,83,4433,60,4408,98,10651,85,10634,130,11078,94,11006,105,9806,97,9776,89,4852,83,4822,95,9163,89,9118,125,12295,116,12259,189,18927,164,18862,206,18679,178,18598,180,24524,169,24460,277,29449,245,29215,414,112974,396,112878
"과세소득(소득명세)",우리사주조합인출금,-,-,-,-,212,75,19,74,144,512,49,382,118,268,52,188,81,824,31,777,75,220,44,145,48,198,23,150,75,181,47,138,58,145,48,130,96,270,80,231,75,219,56,189,68,218,52,194,71,291,51,218,96,304,79,266
"과세소득(소득명세)",임원퇴직소득금액한도초과액,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,241,6,229,16,974,9,965,17,1169,10,1162,11,135,3,131,20,1970,10,1963,26,4101,15,4090,21,894,6,879,19,3886,13,3879,24,1969,18,1961
"과세소득(소득명세)",  직무발생보상금액,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,153,16,153,20,220,20,220,13,139,13,139,11,80,9,78
"비과세소득",소계,239683,1367959,29361,714308,250561,1381058,31010,658822,123642,203041,8708,21581,131907,214751,9027,22283,73143,124350,6202,19449,93558,200532,6886,24602,104463,239253,6920,25214,103691,235678,6832,22476,96201,212074,6676,20308,84509,180989,6744,19412,86670,185739,7148,19729,84093,177483,6818,18622,81544,179179,6561,18843,72888,167209,5825,16680
"비과세소득",연구활동비,3627,6613,2619,5581,4534,8159,3280,6933,5001,9315,3455,7599,5521,10450,3766,8394,6123,11671,4034,9009,6440,12144,4087,9058,6344,11953,3938,8757,6023,11086,3825,8106,5499,10674,3437,7717,5658,10635,3420,7409,5566,10741,3384,7348,5550,10594,3154,7030,5671,10916,3254,7055,5808,11390,3052,6767
"비과세소득",국외근로수당,1004,6100,367,3588,2209,14649,607,6617,1677,10580,388,4056,2542,17101,470,5164,2766,21464,548,7775,3073,26541,611,9226,4867,47246,694,11939,4381,44237,518,9644,4378,39546,444,7361,3881,36537,448,6827,3302,30267,434,6145,2876,28093,363,5301,2967,33990,433,6307,3454,38179,310,5187
"비과세소득",야간근로수당,125765,202883,2852,5927,114038,175805,2280,4579,112865,176090,3855,7403,121197,182512,4072,7046,61701,87180,978,1620,81181,155445,1493,3262,90253,176076,1572,3369,89765,175652,1741,3648,82244,156616,1959,4095,69545,125999,1852,3747,72674,137141,2275,4872,70182,130535,2152,4645,66648,124314,1690,3609,57078,106913,1158,2422
"비과세소득",출산보육수당,542,330,344,269,676,442,456,357,689,451,483,360,905,603,609,476,1083,756,692,564,1271,888,753,600,1366,945,795,623,1512,1138,838,701,1715,1265,945,809,1897,1458,1036,893,2059,1627,1094,965,2175,1763,1136,1023,2290,1898,1149,1060,2382,2010,1208,1100
"비과세소득",외국인근로자,155741,909809,24668,510479,195066,1097830,28512,576837,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"비과세소득",기타,39079,242224,7754,188464,15719,84173,4273,63499,4641,6605,890,2163,2237,4085,337,1203,1874,3279,169,481,2013,5514,169,2456,2073,3033,147,526,2444,3565,134,377,2786,3973,117,326,3843,6360,135,536,3571,5963,252,399,3825,6497,304,623,4464,8060,337,812,4680,8717,391,1204
"과세대상 근로소득(총급여)",소계,342399,4538335,34221,2228598,364441,4889021,36335,2396200,402853,6969732,40374,3223785,463177,8457583,46499,3739488,472473,9321043,47424,3996985,477375,10226130,47934,4456191,503888,11608033,50731,4720082,540300,12669730,54372,4911950,560166,13511203,56346,4995000,554503,14001253,55824,4886748,570819,14826816,57332,4870854,583482,15940538,58552,5036132,542213,15863486,54480,5061756,501902,15956316,50466,5264325
"근로소득공제",소계,341330,2188767,33293,431219,362916,2037954,34939,419295,397794,2615605,35555,447894,457152,3195255,40628,510560,465796,3457322,40894,523306,469919,3595648,40690,532021,495717,3467556,42787,515629,531869,3826610,46199,556095,551716,4064963,48149,581117,547931,4188217,49408,606472,565478,4459335,52195,647786,580147,4760380,55304,709494,539174,4557515,51516,674403,498821,4355505,47453,639051
"근로소득금액",소계,228595,2349568,34205,1797379,364441,2851067,36335,1976905,402853,4354127,40374,2775892,463177,5262327,46499,3228928,472473,5863721,47424,3473679,477375,6630482,47934,3924170,503888,8140477,50731,4204453,540299,8843120,54372,4355855,560166,9446240,56346,4413883,554463,9813036,55824,4280277,570795,10367481,57332,4223068,583482,11180159,58552,4326638,542179,11305971,54480,4387353,501855,11600811,50466,4625274
"소득공제",소계,227526,572631,33277,209844,362930,849576,34939,258407,397812,968137,35555,232173,457185,1196511,40628,274483,465831,1312664,40895,299598,469944,1380753,40690,316969,495743,1157291,42787,264819,531869,1293445,46199,287727,551744,1389451,48149,302583,547891,1454902,49408,317633,565454,1581362,52195,345135,580099,1739047,55304,391878,539141,1816539,51516,403325,498774,1830287,47453,405298
"인적공제",소계,227137,249124,33046,67812,362741,468109,34831,97310,397726,528514,35503,89816,457082,646970,40567,102835,465701,692262,40788,108191,469806,710651,40605,111102,495743,767164,42787,104623,531869,838809,46199,112412,551744,874773,48149,116193,547891,877527,49408,119561,565454,918794,52195,125812,580099,959961,55304,134720,539141,909603,51516,128285,498774,861153,47453,121527
"인적공제",기본공제,227135,234595,33045,54889,362741,454659,34831,85776,397726,514759,35503,79932,457082,627675,40567,89784,465701,669224,40788,93431,469806,684720,40605,95499,495743,757200,42787,101168,531869,828563,46199,108822,551744,863596,48149,112556,547891,865153,49408,115755,565454,904900,52195,121730,580099,943801,55304,130119,539141,892305,51516,123657,498774,842362,47453,116778
"인적공제",추가공제,8062,11994,6060,10474,8793,10890,6002,3096,10682,11579,5528,7952,14334,14662,6276,9043,17430,17911,7205,10448,19629,20166,7654,10975,13437,9964,2592,3455,13411,10246,2656,3590,14714,11177,2700,3637,16171,12374,2723,3807,17834,13894,2789,4082,20558,16159,2992,4601,21676,17298,2867,4628,23420,18791,2950,4749
"인적공제",다자녀 추가공제,3517,2535,3361,2449,3564,2560,3438,2498,3031,2176,2645,1932,3248,4633,2753,4008,3666,5127,3018,4312,4106,5765,3201,4629,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"국민연금보험료",소계,126362,78595,21420,27108,142575,86924,22332,28383,173189,104965,23416,28223,210463,135627,27280,35655,224346,155861,27976,40424,232026,172038,27629,42753,271249,210551,28831,46327,298909,237273,31364,51432,310698,256116,32820,54654,305793,274050,33908,58759,314165,294297,35619,64577,323682,326960,37937,72881,298502,332001,35202,72044,280926,327490,32803,71045
"연금보험료 공제(국민연금 제외)",소계,4632,7298,3267,6286,5609,9044,4033,7880,5686,9948,4169,8624,6413,13712,4499,11713,6717,17165,4680,14615,6847,18443,4657,15365,6909,18648,4376,15061,6497,18572,4250,15117,6231,20822,4057,16910,5927,21731,3779,17301,5817,22905,3554,17668,5545,23039,3294,17500,5459,24136,3171,18028,5480,24629,2894,17248
"연금계좌소득공제",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3682,9912,3106,8796,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연금계좌소득공제",퇴직연금,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,157,240,113,223,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연금계좌소득공제",연금저축,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3539,9672,3007,8573,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"퇴직연금 소득공제",소계,33,54,20,40,51,73,28,58,42,70,30,62,64,126,55,119,135,182,108,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별 공제",소계,15755,66752,14204,64005,18647,81080,16523,77167,20347,74073,16743,66876,27744,92236,21706,80256,36973,111011,26512,91103,47708,135116,29771,102530,67426,94726,34638,68809,81356,110756,38410,73667,103604,134622,40684,77451,128620,164810,42722,82815,157256,206634,46730,94060,183001,267318,49940,120017,197815,308130,46666,126551,223054,386030,43117,140862
"특별 공제",보험료,15476,36519,13946,34856,18409,45244,16295,42837,20220,41537,16637,37423,27570,54692,21566,47607,36792,69856,26364,57055,47468,88524,29574,65869,67401,91936,34617,66371,81346,109499,38404,72625,103595,132108,40682,75758,128615,164487,42718,82566,157256,206523,46730,93990,183000,267237,49939,119962,197815,308057,46666,126502,223045,367875,43116,133331
"특별 공제",의료비,3270,7150,2810,6669,3978,8626,3317,7865,3774,7395,2617,5963,5047,9186,3136,6760,6702,11709,3692,7798,8153,13794,3809,8120,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별 공제",교육비,3441,12516,3273,12187,3598,16133,3370,15631,3389,14479,2908,13335,3902,15587,3196,13831,4387,17053,3449,14833,5065,18638,3803,15511,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별 공제",주택임차차입금,12,19,10,18,12,12,10,10,-,-,-,-,1,3,1,3,1,3,1,3,-,-,-,-,50,85,30,57,2,6,1,6,2,1,1,1,8,11,5,9,3,5,6,20,1,2,1,2,5,7,1,1,1328,2195,565,1031
"특별 공제",월세액,-,-,-,-,-,-,-,-,-,-,-,-,3,5,1,1,8,13,1,1,7,12,1,3,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
